Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Lone Survivor,2013-12-24,"Four Navy SEALs on a covert mission to neutralize a high-level Taliban operative must make an impossible moral decision in the mountains of Afghanistan that leads them into an enemy ambush. As they confront unthinkable odds, the SEALs must find reserves of strength and resilience to fight to the finish.",7.437,4200,en,War;Action;Drama,121,Based on true acts of courage,40000000,149295601,EFO Films;Envision Entertainment;Film 44;Herrick Entertainment;Leverage;Spikings Entertainment;Single Berry;Closest to the Hole Productions,United States of America,English;پښتو,tt1091191
The Wolf of Wall Street,2013-12-25,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",8.037,23519,en,Crime;Drama;Comedy,180,Earn. Spend. Party.,100000000,392000000,Red Granite Pictures;Appian Way;Sikelia Productions;EMJAG Productions,United States of America,English;Français,tt0993846
Nymphomaniac: Vol. II,2013-12-25,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,6.7,2853,en,Drama;Mystery,124,Forget about love,0,4934725,Zentropa Entertainments;ARTE France Cinéma;Caviar;Slot Machine;Zentropa International Köln;Zentropa International France;Zenbelgie BVBA,Germany;Belgium;Denmark;France,English,tt2382009
Nymphomaniac: Vol. II,2013-12-25,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,6.7,2853,en,Drama;Mystery,124,Forget about love,0,4934725,Zentropa Entertainments;ARTE France Cinéma;Caviar;Slot Machine;Zentropa International Köln;Zentropa International France;Zenbelgie BVBA,Germany;Belgium;Denmark;France,English,tt2382009
August: Osage County,2013-12-26,"An intense look at the lives of the strong-willed daughters of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional mother who raised them.",6.849,1445,en,Comedy;Drama,121,Misery loves family,25000000,74188937,Jean Doumanian Productions;Smoke House Pictures;Battle Mountain Films;Yucaipa Films;The Weinstein Company,United States of America,English,tt1322269
The Voices,2014-01-19,"A mentally unhinged factory worker must decide whether to listen to his talking cat and become a killer, or follow his dog's advice to keep striving for normalcy.",6.243,1708,en,Comedy;Crime;Horror;Fantasy,104,Hearing voices can be murder.,0,0,1984 Private Defense Contractors;Mandalay Vision;Studio Babelsberg;Vertigo Entertainment,Germany;United States of America,English,tt1567437
The Monuments Men,2014-01-24,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",6.056,3510,en,War;Drama;History;Action,118,It was the greatest art heist in history,70000000,154984035,Columbia Pictures;Fox 2000 Pictures;Smoke House Pictures;Obelisk Productions;Studio Babelsberg,Germany;United States of America,Nederlands;English;Français;Deutsch;Pусский,tt2177771
RoboCop,2014-01-30,"In RoboCop, the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas, their drones have been used by the military for years, but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front, and they see a golden opportunity to do it.  When Alex Murphy – a loving husband, father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured, OmniCorp sees their chance to build a part-man, part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders, but they never counted on one thing: there is still a man inside the machine.",5.875,5383,en,Science Fiction;Action;Crime,118,Crime has a new enemy.,120000000,242688965,Metro-Goldwyn-Mayer;Columbia Pictures;Strike Entertainment,United States of America,English,tt1234721
The Lego Movie,2014-02-06,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",7.42,7669,en,Animation;Family;Adventure;Comedy;Fantasy,100,The story of a nobody who saved everybody.,60000000,470759687,Village Roadshow Pictures;RatPac Entertainment;LEGO;Lin Pictures;Vertigo Entertainment;Warner Bros. Pictures Animation;Animal Logic,Australia;Denmark;United States of America,English,tt1490017
Endless Love,2014-02-12,A privileged girl and a charismatic boy's instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,6.904,1660,en,Drama;Romance,103,Say goodbye to innocence,20000000,34100000,Bluegrass Films;Fake Empire Productions,United States of America,English,tt2318092
3 Days to Kill,2014-02-14,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",6.089,2110,en,Action;Drama;Thriller,113,The question is... kill or die?,28000000,53260230,Wonderland Sound and Vision;EuropaCorp;Relativity Media;20th Century Fox,France;United States of America,English,tt2172934
Pompeii,2014-02-18,"In 79 A.D., Milo, a slave turned gladiator, finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.",5.535,3170,en,Action;Adventure;History;Romance;Drama,105,No warning. No escape.,100000000,117831631,Don Carmody Productions;Impact Pictures;Constantin Film;FilmDistrict;TriStar Pictures,Canada;Germany;United Kingdom;United States of America,English,tt1921064
The Grand Budapest Hotel,2014-02-26,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",8.05,14531,en,Comedy;Drama,100,A murder case of Madam D. with enormous wealth and the most outrageous events surrounding her sudden death!,30000000,174600318,Fox Searchlight Pictures;Scott Rudin Productions;Studio Babelsberg;Indian Paintbrush;TSG Entertainment;American Empirical Pictures,Germany;United States of America,English;Français,tt2278388
