Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Wild on the Beach,1965-08-25,"3 boys, 3 girls, one beachhouse. The cast of this 1965 comedy includes Frankie Randall, Sherry Jackson, The Astronauts and Sonny & Cher.",4,5,en,Comedy,77,When Guys & Gals Rent the Same Beach House!,0,0,,,English,tt0059913
Who Killed Teddy Bear?,1965-09-01,"A grim police detective embarks on a one-man crusade to track down a depraved sex maniac when a nightclub deejay receives a disturbing series of obscene phone calls. Finding himself getting far too close to the victim for comfort, the hard-boiled cop must track down the unbalanced pervert before he can carry out his sick threats...",6.3,25,en,Crime;Drama;Thriller,94,Why with everybody else - why with every slob ... and not with me?,0,0,Phillips Productions,United States of America,English,tt0059909
Operation C.I.A.,1965-09-08,A young CIA agent is assigned to Saigon to stop a planned political assassination.,5,1,en,Drama;Thriller,90,Our C.I.A. man in Saigon ... The hottest spot on Earth!,0,0,Peer Oppenheimer Production Inc.,United States of America,English,tt0059548
The Reward,1965-09-15,A crash-landed crop-duster betrays a fugitive and his girlfriend to Mexican bounty hunters.,5.7,3,en,Drama;Western,92,"THE DESERT, the real enemy of all who sought THE REWARD!",0,0,20th Century Fox,United States of America,English,tt0059651
The Agony and the Ecstasy,1965-09-16,"During the Italian Renaissance, Pope Julius II contracts the influential artist Michelangelo to sculpt 40 statues for his tomb. When the pope changes his mind and asks the sculptor to paint a mural in the Sistine Chapel, Michelangelo doubts his painting skills and abandons the project. Divine inspiration returns Michelangelo to the mural, but his artistic vision clashes with the pope's demanding personality and threatens the success of the historic painting.",7,131,en,Drama;History,138,From the age of magnificence comes a new magnificence in motion pictures.,10000000,4000000,DDL Cinematografica;International Classics;20th Century Fox,Italy;United States of America,English;Latin,tt0058886
Marriage on the Rocks,1965-09-24,"Ad-agency president Dan Edwards goes to Mexico to celebrate his nineteenth wedding anniversary and winds up getting divorced by mistake, whereupon his wife Valerie marries his best friend Ernie Brewer by mistake.",5.6,12,en,Comedy;Romance,109,Any Number Can Play!,0,0,Sinatra Enterprises;Warner Bros. Pictures,United States of America,Español;English,tt0059431
Mickey One,1965-09-27,A former comic is on the run from the mob.,5.677,31,en,Crime;Drama,93,...and the name of the game is Mickey!,0,0,Florin Productions;Tatira,United States of America,English,tt0059447
Situation Hopeless -- But Not Serious,1965-10-13,"A lonely German clerk captures two American flyers and keeps them as prisoners in his basement long after WWII has ended. Director Gottfried Reinhardt's 1965 comedy stars Alec Guinness, Robert Redford and Michael Connors.",7,5,en,War;Comedy,97,,0,0,Paramount Pictures,Germany;United States of America,English,tt0059724
The Cincinnati Kid,1965-10-15,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,6.98,269,en,Drama,102,"He'd take on anyone, at anything, anytime.",0,15260000,Filmways Pictures;Solar Productions;Metro-Goldwyn-Mayer,United States of America,English,tt0059037
King Rat,1965-10-27,"When Singapore surrendered to the Japanese in 1942, the Allied POWs, mostly British but including a few Americans, were incarcerated in Changi prison. Among the American prisoners is Cpl. King, a wheeler-dealer who has managed to establish a pretty good life for himself in the camp. King soon forms a friendship with an upper-class British officer who is fascinated with King's enthusiastic approach to life.",7,70,en,Drama;War,134,They Made the Toughest Among Them... King!,0,0,Coleytown,United States of America,English;日本語;Bahasa melayu,tt0059358
Mirage,1965-10-29,"In New York City, David Stillwell struggles to recover his memory before the people who are trying to kill him succeed. Who is he, who are they, and why is he surrounded by murder?",7,101,en,Mystery;Thriller,109,Run... right into her arms!,0,0,Universal Pictures,United States of America,English,tt0059448
Pierrot le Fou,1965-11-05,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.",7.413,825,fr,Drama;Romance;Crime,110,"You've met the tame Godard, the love Godard, the think Godard, ...now meet the wild Godard!",300000,0,DDL Cinematografica;Rome-Paris Films;SNC;Films Georges de Beauregard,France;Italy,English;Italiano;Français,tt0059592
Dr. Goldfoot and the Bikini Machine,1965-11-06,In this campy spy movie spoof Dr. Goldfoot (Vincent Price) has invented an army of bikini-clad robots who are programmed to seek out wealthy men and charm them into signing over their assets. Secret agent Craig Gamble (Frankie Avalon) and millionaire Todd Armstrong set out to foil his fiendish plot.,5.294,51,en,Comedy;Science Fiction,88,Super sexbots... built to kill!,0,0,American International Pictures,United States of America,English,tt0059124
Return from the Ashes,1965-11-16,"A Jewish woman, Dr. Michele Wolf, interred in a Nazi concentration camp during WWII returns to her Paris home after the war's end. She's unaware that her husband, the handsome gigolo and chess master Stanislaw Pilgrin, has been having an affair with her stepdaughter Fabi in her absence.",6.043,23,en,Thriller;Drama,105,The water warm... the champagne chilled... the music soft... then the daydream ends... and the nightmare begins!,0,0,The Mirisch Company;Orchard Productions,United Kingdom,English,tt0059649
The War Lord,1965-11-17,A knight in the service of a duke goes to a coastal village where an earlier attempt to build a defensive castle has failed. He begins to rebuild the duke's authority in the face of the barbarians at the border and is making progress until he falls in love with one of the local women.,6.3,69,en,History;Drama;War,123,He Battled Two Empires For The Love Of One Woman.,0,0,Universal Pictures,United States of America,English,tt0059896
That Darn Cat!,1965-12-02,"A young woman suspects foul play when her cat comes home wearing a wristwatch. Convincing the FBI, though, and catching the bad guys is tougher than she imagined.",6.5,165,en,Family;Comedy;Crime,112,It takes a Siamese secret agent to unravel the PURR-fect crime!,0,28062222,Walt Disney Productions,United States of America,English,tt0059793
A Patch of Blue,1965-12-10,"A blind, uneducated white girl is befriended by a black man, who becomes determined to help her escape her impoverished and abusive home life.",7.52,101,en,Drama;Romance,105,Love is color blind.,800000,6792000,Metro-Goldwyn-Mayer,United States of America,English,tt0059573
Thunderball,1965-12-11,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,6.656,2241,en,Adventure;Action;Thriller,130,Look up! Look down! Look out! Here comes the biggest Bond of all!,5500000,141195658,EON Productions,United Kingdom,English;Français,tt0059800
A Thousand Clowns,1965-12-13,"Twelve-year-old Nick lives with his Uncle Murray, a Mr.Micawber-like Dickensian character who keeps hoping something won't turn up. What turns up is a social worker, who falls in love with Murray and a bit in love with Nick. As the child welfare people try to force Murray to become a conventional man (as the price they demand for allowing him to keep Nick), the nephew, who until now has gloried in his Uncle's iconoclastic approach to life, tries to play mediator. But when he succeeds, he is alarmed by the uncle's willingness to cave in to society in order to save the relationship.",6.963,27,en,Comedy;Drama;Romance,118,... IT'S A LIFT FOR THE SPIRITS,0,0,Harrell,United States of America,English,tt0059798
Harum Scarum,1965-12-15,"Johnny Tyronne, action movie star and ladies man, is traveling through the Middle East on a goodwill tour to promote his latest movie, ""Sands of the Desert"". Once he arrives, however, he is kidnapped by a gang of assassins who were so impressed with his on-screen adventures that they want to hire him to carry out an assassination for them.",4.81,29,en,Comedy;Crime;Music;Romance,85,"1001 Swingin' nights as ELVIS brings the Big Beat to Bagdad in a riotous, rockin' rollin' adventure spoof!!!",2400000,3100000,Four-Leaf Productions,United States of America,English,tt0059255
The Flight of the Phoenix,1965-12-15,A cargo aircraft crashes in a sandstorm in the Sahara with less than a dozen men on board. One of the passengers is an airplane designer who comes up with the idea of ripping off the undamaged wing and using it as the basis for a replacement aircraft they need to build before their food and water run out.,7.183,311,en,Adventure;Drama,142,"Theirs was the triumph - yours, the excitement!",5355000,0,The Associates & Aldrich Company;20th Century Fox,United States of America,English,tt0059183
The Slender Thread,1965-12-15,"Alan is a Seattle college student volunteering at a crisis center. One night when at the clinic alone, a woman calls up the number and tells Alan that she needs to talk to someone. She informs Alan she took a load of pills, and he secretly tries to get help. During this time, he learns more about the woman, her family life, and why she wants to die. Can Alan get the cavalry to save her in time before it's too late?",7.115,48,en,Drama,98,"When a woman's emotions sway away on a slender thread, expect anything…",0,0,Paramount Pictures;Stephen Alexander Productions,United States of America,English,tt0059729
Battle of the Bulge,1965-12-16,"In the winter of 1944, the Allied Armies stand ready to invade Germany at the coming of a New Year. To prevent it, Hitler orders an all-out offensive to re-take French territory and capture the major port city of Antwerp.",6.9,246,en,Drama;History;War,169,Warner Bros.' super action show of shows!,6500000,11118000,Cinerama Productions;United States Pictures;Warner Bros. Pictures,United States of America,English;Deutsch,tt0058947
The Spy Who Came in from the Cold,1965-12-16,"British agent Alec Leamas refuses to come in from the Cold War during the 1960s, choosing to face another mission, which may prove to be his final one.",7.051,276,en,Drama;Thriller,112,Brace yourself for greatness.,0,0,Salem Films Limited,United Kingdom,Nederlands;English,tt0059749
For a Few Dollars More,1965-12-18,"Two bounty hunters are in pursuit of ""El Indio,"" one of the most wanted fugitives in the western territories, and his gang.",8.022,3850,it,Western,132,"The man with no name is back... the man in black is waiting... a walking arsenal - he uncoils, strikes and kills!",600000,15000000,PEA;Constantin Film;Arturo González Producciones Cinematográficas,Germany;Italy;Spain,Italiano,tt0059578
Invasion of Astro-Monster,1965-12-19,"Astronauts Glenn and Fuji investigate Planet X and encounter mysterious aliens known as the Xiliens, who ask Earth's people to help save their world from ""Monster Zero"".  In exchange for borrowing Godzilla and Rodan, the Xiliens offer a cure for cancer. As Glenn investigates, he develops a romance with Miss Namikawa and uncovers the Xilien's true intentions.",6.739,201,ja,Science Fiction;Action,96,"The great fierce battle between Godzilla, Rodan, and King Ghidorah that will sway the ruler of the Universe, Planet X!",0,3000000,TOHO;United Productions of America (UPA),Japan,English;日本語,tt0059346
Doctor Zhivago,1965-12-22,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",7.542,1114,en,Drama;Romance;War,200,"Turbulent were the times and fiery was the love story of Zhivago, his wife and the passionate, tender Lara.",11000000,111858363,Metro-Goldwyn-Mayer;Carlo Ponti Production,Italy;United Kingdom;United States of America,English;Pусский,tt0059113
Bad Girls Go to Hell,1965-12-24,"After housewife Meg is raped by the janitor she kills him and hits the road. She travels to the Big City where she is repeatedly used and abused. And when she finally finds a safe place to live her landlady's son turns out to be a detective, which threatens her newly found identity and peace of mind.",4.865,26,en,Drama,65,"Possessed with sex, they know no shame!",0,0,Juri Productions,United States of America,English,tt0058933
Nashville Rebel,1966-01-01,"Down a dusty road in the deep South, wanders a young man, Arlin Grove, with a guitar and his earthly belongings on his back, just released from the U. A. Army, with no place to go. When a Hootenanny comes to town, it just discovered that Arlin not only has an exciting voice, he also is a gifted guitar player. He is soon appearing on the Grand Ole Opry stage in Nashville.",7,2,en,Drama;Music,95,The Explosive Story of a Guy With a Guitar... And GUTS!,0,0,,,English,tt0060739
Agent for H.A.R.M.,1966-01-05,The head of the Human Aetiological Relations Machine pits an agent against a flesh-to-fungus spore gun.,2.4,18,en,Science Fiction;Adventure;Thriller,84,They used the world's deadliest weapons against this super-secret agent!,0,0,Universal Pictures;Dimension VI,United States of America,English,tt0060074
Our Man Flint,1966-01-16,"When scientists use eco-terrorism to impose their will on the world by affecting extremes in the weather, Intelligence Chief Cramden calls in top agent Derek Flint.",6.408,109,en,Adventure;Comedy;Science Fiction;Action,108,The ORIGINAL man of mystery!,0,0,20th Century Fox,United States of America,English;Italiano,tt0059557
Judith,1966-01-20,A Jewish woman is recruited to help track down a German commander who was her former husband.,4.3,9,en,Drama;War,109,,0,0,Paramount Pictures;Cumulus Productions;Command Productions,Israel;United Kingdom;United States of America,English,tt0060568
The Ghost & Mr. Chicken,1966-01-20,"Luther Heggs, a typesetter for the town newspaper, pitches an idea for a story about a local haunted house where a famous murder/suicide occurred 20 years earlier. After the editor assigns Luther to spend one night alone in the mansion, Heggs has a number of supernatural encounters and writes a front page story that makes him a hometown hero...until the nephew of the deceased sues him for libel.",6.692,91,en,Comedy;Family;Mystery;Romance,90,G-G-GUARANTEED! YOU'LL BE SCARED UNTIL YOU LAUGH YOURSELF SILLY!,700000,0,Universal Pictures,United States of America,English;Español,tt0059221
The Idol,1966-02-01,"A rebellious student embarks on an affair with the mother of his best friend, leading to disastrous consequences.",4.9,8,en,Drama,109,The act of love does not make this a love story...the act of worship does not make him the idol.,0,0,Paramount Pictures;Embassy Pictures Corporation,United Kingdom,English,tt0060533
The Rare Breed,1966-02-02,"When her husband dies en route to America, Martha Price and her daughter Hilary are left to carry out his dream: the introduction of Hereford cattle into the American West. They enlist Sam ""Bulldog"" Burnett in their efforts to transport their lone bull, a Hereford named Vindicator, to a breeder in Texas, but the trail is fraught with danger and even Burnett doubts the survival potential of this ""rare breed"" of cattle.",6,64,en,Western,97,"Young lovers ... restless, bold, ready to meet the brawling dangers of the raw West ... Head On !",0,0,Universal Pictures,United States of America,English,tt0060884
Made in Paris,1966-02-09,"A pretty fashion buyer visiting Paris on business is courted by a famous designer. Boris Sagal's 1966 romantic comedy stars Ann-Margret, Louis Jourdan, Richard Crenna, Chad Everett, Edie Adams, John McGiver, Reta Shaw and Count Basie.",4.4,7,en,Comedy;Romance,103,This is Ann-Margret BEFORE she went to Paris... This is Ann-Margret AFTER she got to Paris... AND what happens in between is what it's all about!,0,0,Euterpe Productions;Metro-Goldwyn-Mayer,United States of America,English,tt0060646
The Silencers,1966-02-18,"Matt Helm is called out of retirement to stop the evil Big O organization who plan to explode an atomic bomb over Alamagordo, NM, and start WW III.",6.058,43,en,Comedy;Action;Adventure,102,The Best Spy Thriller of Nineteen Sexty-Sex!,0,16318124,Columbia Pictures;Meadway-Claude Productions Company,United States of America,English,tt0060980
Lord Love a Duck,1966-02-21,"From his prison cell, young Alan Musgrave relates his experiences of the previous year dedicated to fulfilling every whim of beautiful and self-absorbed high school senior Barbara Ann Greene.",5.7,24,en,Comedy;Drama,105,This motion picture is an act of pure aggression,0,0,George Axelrod Productions,United States of America,English,tt0060636
Harper,1966-02-22,"Harper is a cynical private eye in the best tradition of Bogart. He even has Bogie's Baby hiring him to find her missing husband, getting involved along the way with an assortment of unsavory characters and an illegal-alien smuggling ring.",6.643,164,en,Mystery;Crime;Thriller,121,Harper takes a case - and the payoff is murder.,3500000,12000000,Gershwin-Kastner;Warner Bros. Pictures,United States of America,English,tt0060490
Three on a Couch,1966-03-01,"An artist has an opportunity to go to Paris and wants to bring his fiancee along. However, she's a psychiatrist who currently has three female patients who don't like men. So, he guises himself as three different men to gauge their trust and hopefully cure them so that his fiancee can go with him.",5.4,22,en,Comedy;Romance,109,When Jerry takes over as 'The King' of the great lovers -- Pandemonium reigns!,0,0,Jerry Lewis Productions;Columbia Pictures,United States of America,English;Italiano,tt0061093
Madame X,1966-03-03,"A woman married to a wealthy socialite, is compromised by the accidental death of a man who had been romantically pursuing her, and is forced by her mother-in-law to assume a new identity to save the reputation of her husband and infant son. She wanders the world, trying to forget her heartbreak with the aid of alcohol and unsavory men, eventually returning to the city of her downfall, where she murders a blackmailer who threatens to expose her past. Amazingly, she is represented at her murder trial by her now adult son, who is a public defender. Hoping to continue to protect her son, she refuses to give her real name and is known to the court as the defendant, ""Madame X.""",6.5,37,en,Drama;Crime,100,There was always a man... never a name!,0,0,Universal Pictures;Ross Hunter Productions,United States of America,English;Français;Español,tt0060645
The Group,1966-03-04,"It's 1933, and eight young women are friends and members of the upper- class group at a private girl's school, about to graduate and start their own lives. The film documents the years between their graduation and the beginning of the World War in Europe, and shows, in a serialized style, their romances and marriages, their searches for careers or meaning in their lives, their highs and their lows.",5.6,26,en,Drama,152,,0,0,Famartists Productions S.A.;United Artists,United States of America,English,tt0060479
The Oscar,1966-03-04,An amoral lowlife accidentally stumbles into an acting career that sets him on a trajectory to Hollywood stardom. But everyone on whom he steps on the way to the top remembers when he is nominated for an Oscar and he runs a dirty campaign in an attempt to win.,5.1,14,en,Drama,119,The breath-taking race for Hollywood's highest award!,0,0,Paramount Pictures;Embassy Pictures Corporation,United States of America,English,tt0060801
Johnny Reno,1966-03-09,The townsfolk are set on lynching an accused killer held in the town lockup. But US Marshal Johnny Reno stands in their way.,6.3,15,en,Action;Western,83,On the trail of justice.,0,0,Paramount Pictures;A.C. Lyles Productions,United States of America,English,tt0060564
The Singing Nun,1966-03-17,"Belgian nun Sister Ann is sent to another order where she's at first committed to helping troubled souls, like Nichole and little Dominic. When Father Clementi hears Sister Ann's uplifting singing style, he takes her to a talent contest. Sister Ann is signed to a record deal and everyone is listening to her lighthearted songs. She is unprepared for her newfound fame (like appearing on The Ed Sullivan Show) and unwanted side effects, including a wrongful attraction to an old friend.",5.5,17,en,Music;Comedy;Drama;Family,97,GOT A HEART? Here's the picture for it!,0,0,Metro-Goldwyn-Mayer,United States of America,English,tt0060983
Alfie,1966-03-29,A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.,6.462,198,en,Comedy;Drama;Romance,114,Is any man an Alfie? Ask any girl!,0,0,Paramount Pictures;Lewis Gilbert Productions,United Kingdom,English,tt0060086
The Trouble with Angels,1966-03-29,"Mary and her friend, Rachel, are new students at St. Francis Academy, a boarding school run by the iron fist of Mother Superior. The immature teens grow bored and begin playing pranks on both the unsuspecting nuns and their unpleasant classmates, becoming a constant thorn in Mother Superior's side. However, as the years pass, Mary and Rachel slowly mature and begin to see the nuns in a different light.",6.6,60,en,Comedy,112,It's heaven in Earthly entertainment!,0,0,Columbia Pictures,United States of America,English,tt0061122
Cast a Giant Shadow,1966-03-30,An American Army officer is recruited by the yet to exist Israel to help them form an army. He is disturbed by this sudden appeal to his Jewish heritage. Each of Israel's Arab neighbors has vowed to invade the poorly prepared country as soon as partition is granted. He is made commander of the Israeli forces just before the war begins.,6.3,47,en,War;Drama,146,Outnumbered - unarmed - unprepared - they stunned the world with their incredible victory!,0,0,Bryna Productions;Batjac Productions;Llenroc Productions;The Mirisch Company;United Artists,United States of America,English;Français,tt0060218
Django,1966-04-06,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,7.212,874,it,Action;Western,93,The movie that spawned a genre.,0,17277,Tecisa Film;B.R.C. Produzione Film,Italy;Spain,Italiano,tt0060315
Hold Me While I'm Naked,1966-04-23,"Presented as loosely autobiographical, Hold Me While I’m Naked centres on the tribulations of an independent filmmaker, frustrated at every turn as he tries to make a film that pretends to artistic merit.",4.833,54,en,Comedy;Drama,17,,0,0,,United States of America,English,tt0060511
"Paradise, Hawaiian Style",1966-04-23,"Blacklisted by the major airlines for endlessly chasing female staff, pilot Rick Richards returns to Hawaii to set up a helicopter charter company with his friend Danny. Having a girl on every island is a good way to get business but it becomes clear that romance and flying don't always mix.",5.1,45,en,Music;Comedy;Romance,91,His newest! His Biggest!,2000000,2500000,Paramount Pictures,United States of America,English,tt0059563
Destination Inner Space,1966-05-01,"A futuristic underwater sea-lab is having problems with a UFO that's parked between them and a nearby deep ocean trench. As they investigate, they attract the unwanted attention of a dangerous creature who puts the scientists and crew in danger.",5,20,en,Thriller;Science Fiction,83,TERROR from the DEPTHS of the SEA!,0,0,United Pictures;Harold Goldman Associates;Television Enterprises Corporation,United States of America,English;Italiano,tt0060302
Lost Command,1966-05-01,"After being freed from a Vietnamese war prison, French Lt. Col. Pierre Raspeguy is sent to help quell resistance forces in Algeria. With the help of the Capt. Esclavier, who has grown weary of war, and Capt. Boisfeuras, who lives for it, Raspeguy attempts to convert a rugged band of soldiers into a formidable fighting unit, with the promise of marrying a beautiful countess if he's made a general.",6.2,51,en,Action;War,129,They lived and loved and fought across three continents !,0,0,Red Lion,United States of America,English,tt0060637
Ambush Bay,1966-05-10,A Marine unit on a Japanese-held island in the Philippines tries to hook up with local Filipino guerrillas.,5,10,en,War;Drama,109,"Their top secret mission paved the way for the man who said ""I Shall Return!""",0,0,Courageous Films;United Artists,United States of America,English,tt0060098
The Fat Spy,1966-05-11,"A mostly-deserted island, which is believed to be the home to the fountain of youth, is off the coast of Florida. The island gets some visitors in the form of a teenage boy band, ""the Wild Ones"", and their gang of swimsuit-clad young people, who head there in a crowded powerboat ostensibly for a scavenger hunt.",2.7,12,en,Comedy,80,It's a killer... a Diller... a blast of laffs!,0,0,Phillip Productions,United States of America,English,tt0059171
The Poppy Is Also a Flower,1966-05-20,A special United Nations bureau organises a campaign to trace a drug-smuggling ring across Europe to its source on the Afghanistan-Iran border.,5.8,20,en,Crime;Drama;Mystery,100,The story of another war more deadly...more destructive...against the world wide opium conspiracy.,0,0,Comet;Telsun Foundation Inc.;United Nations,France;Austria;United States of America,English,tt0060848
Around the World Under the Sea,1966-05-21,A five man submarine plants sensors around the worlds oceans to monitor for a impending earthquake.,5.4,14,en,Science Fiction;Adventure,110,Hold your breath for the biggest undersea adventure of all!,0,0,Ivan Tors Productions,United States of America,English,tt0060126
Blindfold,1966-05-23,"A patient being psychoanalyzed by Dr. Snow is a government scientist. General Pratt hides him in a secret place known as ""Base X,"" forcing Dr. Snow to wear a blindfold whenever he is taken there ...",6.273,11,en,Comedy;Romance;Thriller,102,Behind the Blindfold is the Greatest Security Trap Ever Devised!,0,0,Universal Pictures,United States of America,English,tt0058977
Au Hasard Balthazar,1966-05-25,"The story of a donkey Balthazar as he is passed from owner to owner, some kind and some cruel but all with motivations beyond his understanding. Balthazar, whose life parallels that of his first keeper, Marie, is truly a beast of burden, suffering the sins of humankind. But despite his powerlessness, he accepts his fate nobly.",7.6,434,fr,Drama,96,,0,39388,Argos Films;Parc Film;SF Studios;Svenska Filminstitutet,France;Sweden,Français;Latin,tt0060138
The Last of the Secret Agents?,1966-05-25,"Marty and Steve, American tourists in France, are given a multipurpose umbrella and pitted against an international band of art thieves. Among the stolen treasures is the Statue Of Liberty.",3.3,3,en,Adventure;Comedy,92,Will spying ever be the same again?,0,0,Paramount Pictures,United States of America,English,tt0060619
The Russians Are Coming! The Russians Are Coming!,1966-05-25,"When a Soviet submarine gets stuck on a sandbar off the coast of a New England island, its commander orders his second-in-command, Lieutenant Rozanov, to get them moving again before there is an international incident. Rozanov seeks assistance from the island locals, including the police chief and a vacationing television writer, while trying to allay their fears of a Communist invasion by claiming he and his crew are Norwegian sailors.",6.327,107,en,Comedy;War,126,IT'S A PLOT! ...to make the world die laughing!!,0,0,The Mirisch Company,United States of America,English;Pусский,tt0060921
The Daydreamer,1966-06-01,"A young Hans Christian Andersen goes in search of knowledge in the Garden of Paradise in order to make his studies easier. Each time he falls asleep, he experiences in his dreams the different characters he would later write about in fairy tales including The Little Mermaid, Thumbelina, and The Emperor's New Clothes.",4.8,9,en,Animation;Adventure;Family;Fantasy;Music,101,"Before the Little Mermaid, there was...",0,0,Rankin/Bass Productions;StudioCanal;Videocraft International,United States of America,English,tt0060283
The Shooting,1966-06-02,"Two miners agree to guide a mysterious woman, who has appeared in their camp from nowhere, to a nearby town; but soon, because of her erratic behavior, they begin to suspect that her true purpose is quite different.",6.3,113,en,Western,82,Suspenseful desert pursuit in the “High Noon” tradition,75000,0,Proteus Films;Santa Clara Productions,United States of America,English,tt0062262
Fireball 500,1966-06-07,Stock car racer Dave Owens plays into the hands of whiskey runners by agreeing to drive in a cross-country road race.,4.9,17,en,Drama;Action;Comedy,92,"The guys who drive faster, love harder and swing harder than anyone else on earth!",0,0,American International Pictures,United States of America,English,tt0060415
A Big Hand for the Little Lady,1966-06-08,"A naive traveler in Laredo gets involved in a poker game between the richest men in the area, jeopardizing all the money he has saved for the purpose of settling with his wife and child in San Antonio.",7.101,69,en,Western,95,All the action you can take...all the adventure you can wish for!,0,0,Eden Productions Inc.,United States of America,English,tt0060165
"Boy, Did I Get a Wrong Number!",1966-06-08,"Tom Meade mistakenly dials the gorgeous European film star Didi at her Oregon hotel. Didi, who has escaped Hollywood to avoid being typecast as a bombshell, takes up Meade's offer to hide away at his backwoods cabin. Meade, with the help of his housekeeper, goes to absurd lengths to help the actress evade discovery by both the public and his suspicious wife.",5.1,22,en,Comedy;Romance,99,38-22-36 Boy - she has some area code!,0,0,Edward Small Productions,United States of America,English,tt0060186
The Glass Bottom Boat,1966-06-09,"Bruce, the owner of an aerospace company, is infatuated with Jennifer and hires her to be his biographer so that he can be near her and win her affections. Is she actually a Russian spy trying to obtain aerospace secrets?",6.2,59,en,Comedy;Romance,110,Is this the girl next door?,0,0,Reame Productions;Euterpe Productions;Arwin Productions;Metro-Goldwyn-Mayer,United States of America,English,tt0060463
Nevada Smith,1966-06-10,"Nevada Smith is the young son of an Indian mother and white father. When his father is killed by three men over gold, Nevada sets out to find them and kill them. The boy is taken in by a gun merchant. The gun merchant shows him how to shoot and to shoot on time and correct.",6.8,165,en,Western,128,Some called him savage- and some called him saint... some felt his hate- and one found his love... and three had to die...,0,0,Solar Productions;Paramount Pictures,United States of America,English,tt0060748
Assault on a Queen,1966-06-15,A group of adventurers refloat a WWII German submarine and prepare to use it to pull a very large heist; The Queen Mary which they plan to rob on the high seas.,5.457,23,en,Adventure;Crime;Thriller,106,They Stick Up The Queen Mary In Mid Atlantic,0,0,Sinatra Enterprises;Paramount Pictures;Seven Arts Pictures,United States of America,English,tt0060135
Duel at Diablo,1966-06-15,"In Apache territory, a supply Army column heads for the next fort, an ex-scout searches for the killer of his Native wife, and a housewife abandons her husband to rejoin her Apache lover's tribe.",6.3,97,en,Western,105,Yesterday they fought each other – today they fight together in a dead end canyon called Diablo!,0,0,United Artists,United States of America,English,tt0060355
"Munster, Go Home!",1966-06-15,"Herman discovers he's the new lord of Munster Hall in England. The family sails to Britain, where they receive a tepid welcome from Lady Effigy and Freddie Munster, who throws tantrums because he wasn't named Lord Munster. An on-board romance had blossomed between Marilyn and Roger, but on land Marilyn discovers Roger's family holds a longstanding grudge against the Munsters.",6.4,61,en,Comedy;Family;Horror,96,America's Funniest Family in their First Full-Length Feature,0,0,Universal Pictures,United States of America,English;Italiano,tt0060726
The Endless Summer,1966-06-15,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",7.2,111,en,Documentary,91,The Search for the Perfect Wave!,0,0,Bruce Brown Films,United States of America,English,tt0060371
The Blue Max,1966-06-21,"A young pilot in the German air force of 1918, disliked as lower-class and unchivalrous, tries ambitiously to earn the medal offered for 20 kills.",6.8,103,en,War;Action;Adventure;Drama,156,There was no quiet on the Western Front!,5000000,0,20th Century Fox,United Kingdom,English,tt0060177
Incident at Phantom Hill,1966-07-01,"At the end of the Civil War, a major shipment of gold has been stolen and buried in the desert. Only one man knows the whereabouts of gold and the army sends captain Matt Martin to arrest him and come back with the gold. Martin, his prisoner and a handful of men enter Indian territory in search of the precious cargo. The Apaches, outlaws and storms will make it not too easy.",6.1,14,en,Western,88,A million dollars in gold waits for 2 desperate men and a blonde wildcat !,0,0,Universal Pictures,United States of America,English,tt0060537
How to Steal a Million,1966-07-13,A woman must steal a statue from a Paris museum to help conceal her father's art forgeries.,7.479,571,en,Comedy;Crime;Romance,123,A movie about those who appreciate the finest things in life... for free!,6400000,4400000,World Wide Productions;20th Century Fox,United States of America,English,tt0060522
Mister Buddwing,1966-07-15,"An amnesiac wanders the streets of Manhattan, trying to solve the mystery of who he is.",5.9,13,en,Drama;Mystery,100,The Story of a Man Who Had to Live Twelve Years in One Day with Four Women!,0,0,Cherokee Productions,United States of America,English,tt0059453
Torn Curtain,1966-07-15,"During the Cold War, an American scientist appears to defect to East Germany as part of a cloak and dagger mission to find the formula for a resin solution, but the plan goes awry when his fiancee, unaware of his motivation, follows him across the border.",6.589,559,en,Thriller,127,It tears you apart with suspense!,3000000,13000000,Alfred J. Hitchcock Productions;Universal Pictures,United States of America,Norsk;Deutsch;svenska;English,tt0061107
